Id,Crop,Temp(min),Temp(max),Rainfall(min),Rainfall(max),Ph(min),Ph(max),Black,Yellow,Laterite,Peat,Sandy Loam,Alluvial
0,Apple,21,24,1000,1250,5.5,6.5	,0,0,0,0,1,0
1,Banana,25,30,1700,1700,6,7.5	,0,0,0,0,0,1
2,Blackgram,25,35,700,900,6.5,7.5		,0,1,0,1,0,0
3,Chickpea,24,30,650,950,5.5,7				,0,1,0,1,0,0
4,Coconut,22,32,1000,3000,5.2,8				,0,0,1,0,0,0
5,Coffee,20,27,1500,2000,5,6				,0,0,1,0,0,0
6,Cotton,21,37,850,1100,7,8				,1,0,0,0,0,0
7,Grape,15,35,635,890,6.5,7.5				,1,0,0,0,0,0
8,Jute,24,37,125,150,4.8,5.8				,0,0,0,0,0,1
9,Kidneybeans,15,25,60,150,5.5,6				,0,1,0,1,0,0
10,Lentil,18,30,300,450,5.5,7				,0,1,0,1,0,0
11,Maize,18,28,500,1000,5.8,6.8				,1,1,0,0,0,0
12,Mango,24,30,890,1015,5.5,7.5				,0,1,0,0,0,0
13,Mothbeans,24,32,300,750,3.5,10				,0,1,0,1,0,0
14,Mungbeans,25,35,400,550,6.2,7.2				,0,1,0,1,0,0
15,Muskmelon,18,25,50,75,6.5,7.5				,0,0,0,0,1,0
16,Orange,10,35,50,75,5.5,6.5				,1,1,0,0,0,0
17,Papaya,25,30,350,2500,6.5,7				,0,0,0,0,1,0
18,Pigeonpeas,17,30,600,1000,7,8.5				,0,1,0,1,0,0
19,Pomegranate,15,40,180,550,5.5,7.2				,0,0,0,0,1,0
20,Rice,20,27,1750,3000,5.5,6.5				,1,1,0,0,0,0
21,Watermelon,18,20,400,600,6.5,7.5				,0,0,0,0,1,0
